impianto;area;equipment;eis;note
GASCO2;CABINA 11;Batterie accumulatori;*;
GASCO2;CABINA 11;Cabina 11;;
GASCO2;CABINA 11;Cella TV 1;;
GASCO2;CABINA 11;Cella TV 2;;
GASCO2;CABINA 11;Congiuntore Commutazione Automatica 52P;;
GASCO2;CABINA 11;Congiuntore Commutazione Automatica 52R;;
GASCO2;CABINA 11;Ex-locale batterie Cab.11;;
GASCO2;CABINA 11;Int. Partenza motore Compressore Aria 1;;
GASCO2;CABINA 11;Int. Partenza motore Compressore Aria 2;;
GASCO2;CABINA 11;Interruttore arrivo da cab. 4;;
GASCO2;CABINA 11;Interruttore Box TR1;;
GASCO2;CABINA 11;Interruttore GABBIA 12D / Da SS I^;;
GASCO2;CABINA 11;Interruttore GABBIA 16 / Appoggio a 12D;;
GASCO2;CABINA 11;Interruttore GABBIA 18 / Da SS I^;;
GASCO2;CABINA 11;Interruttore GABBIA 6/Da SS I^;;
GASCO2;CABINA 11;Interruttore Partenza motore ZR6 25;;
GASCO2;CABINA 11;Interruttore Partenza motore ZR6 26;;
GASCO2;CABINA 11;Interruttore Partenza motore ZR6 27;;
GASCO2;CABINA 11;Interruttore Partenza TR1;;
GASCO2;CABINA 11;Interruttore Partenza TR2;;
GASCO2;CABINA 11;Interruttore Partenza TRB;;
GASCO2;CABINA 11;Interruttori;;
GASCO2;CABINA 11;TR1 - CAB 11;;
GASCO2;CABINA 11;TR2 - CAB 11;;
GASCO2;CABINA 11;TRASFORMATORI;;
GASCO2;CABINA 11;TRB - CAB 11;;
GASCO2;CABINA 9.3;Batterie accumulatori;*;
GASCO2;CABINA 9.3;Cabina 9.3;;
GASCO2;CABINA 9.3;Cella TV;;
GASCO2;CABINA 9.3;Congiuntore;;
GASCO2;CABINA 9.3;Int. arrivo Preferenziale da cab. 9;;
GASCO2;CABINA 9.3;Int. Partenza motore FP702 normale;;
GASCO2;CABINA 9.3;Int. Partenza motore FP702 preferenziale;;
GASCO2;CABINA 9.3;Interruttore arrivo Normale da cab. 9;;
GASCO2;CABINA 9.3;Interruttore Partenza TR1;;
GASCO2;CABINA 9.3;Interruttore Partenza TR2;;
GASCO2;CABINA 9.3;Interruttore Partenza TR3;;
GASCO2;CABINA 9.3;Interruttore Partenza TR4;;
GASCO2;CABINA 9.3;Interruttore Partenza TR5;;
GASCO2;CABINA 9.3;Interruttore Partenza TR6 ZR29;;
GASCO2;CABINA 9.3;Interruttori;;
GASCO2;CABINA 9.3;TR1 - CAB9.3;;
GASCO2;CABINA 9.3;TR2 - CAB9.3;;
GASCO2;CABINA 9.3;TR3 - CAB9.3;;
GASCO2;CABINA 9.3;TR5 - CAB9.3;;
GASCO2;CABINA 9.3;TR6 - CAB9.3;;
